=== Results ===
Period String: 001
{'001': 264, '110': 250, '000': 269, '111': 241}
{'001': 252, '110': 273, '000': 243, '111': 256}
{'001': 240, '110': 259, '000': 291, '111': 234}
{'001': 246, '110': 275, '000': 247, '111': 256}
{'001': 271, '110': 254, '000': 253, '111': 246}
{'001': 272, '110': 230, '000': 258, '111': 264}
{'001': 241, '110': 246, '000': 264, '111': 273}
{'001': 249, '110': 267, '000': 252, '111': 256}
{'001': 263, '110': 257, '000': 231, '111': 273}
{'001': 242, '110': 263, '000': 276, '111': 243}
{'001': 247, '110': 289, '000': 253, '111': 235}
{'001': 266, '110': 239, '000': 272, '111': 247}
{'001': 289, '110': 256, '000': 234, '111': 245}
{'001': 253, '110': 250, '000': 252, '111': 269}
{'001': 249, '110': 259, '000': 246, '111': 270}
{'001': 249, '110': 268, '000': 255, '111': 252}
{'001': 268, '110': 262, '000': 256, '111': 238}
{'001': 259, '110': 226, '000': 272, '111': 267}
{'001': 251, '110': 260, '000': 257, '111': 256}
{'001': 246, '110': 252, '000': 251, '111': 275}
{'001': 238, '110': 253, '000': 261, '111': 272}
{'001': 239, '110': 259, '000': 268, '111': 258}
{'001': 252, '110': 246, '000': 266, '111': 260}
{'001': 265, '110': 265, '000': 228, '111': 266}
{'001': 241, '110': 275, '000': 265, '111': 243}
{'001': 268, '110': 246, '000': 266, '111': 244}
{'001': 263, '110': 243, '000': 250, '111': 268}
{'001': 237, '110': 250, '000': 278, '111': 259}
{'001': 253, '110': 273, '000': 256, '111': 242}
{'001': 263, '110': 273, '000': 242, '111': 246}
{'001': 223, '110': 274, '000': 269, '111': 258}
Period String: 111
{'110': 259, '000': 240, '101': 254, '011': 271}
{'110': 264, '000': 271, '101': 241, '011': 248}
{'110': 263, '000': 263, '101': 231, '011': 267}
{'110': 265, '000': 247, '101': 260, '011': 252}
{'110': 258, '000': 259, '101': 247, '011': 260}
{'110': 230, '000': 266, '101': 267, '011': 261}
{'110': 249, '000': 260, '101': 256, '011': 259}
{'110': 243, '000': 238, '101': 284, '011': 259}
{'110': 293, '000': 252, '101': 226, '011': 253}
{'110': 259, '000': 273, '101': 247, '011': 245}
{'110': 267, '000': 243, '101': 281, '011': 233}
{'110': 255, '000': 237, '101': 272, '011': 260}
{'110': 247, '000': 272, '101': 252, '011': 253}
{'110': 258, '000': 237, '101': 261, '011': 268}
{'110': 266, '000': 258, '101': 233, '011': 267}
{'110': 247, '000': 269, '101': 245, '011': 263}
{'110': 248, '000': 263, '101': 257, '011': 256}
{'110': 270, '000': 279, '101': 232, '011': 243}
{'110': 255, '000': 265, '101': 261, '011': 243}
{'110': 246, '000': 246, '101': 268, '011': 264}
{'110': 262, '000': 256, '101': 252, '011': 254}
{'110': 264, '000': 244, '101': 232, '011': 284}
{'110': 255, '000': 253, '101': 253, '011': 263}
